email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
info@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,1,2025-04-23T17:12:51.556825
castlerock@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,135,2025-04-23T17:12:56.106159
coronado@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,135,2025-04-23T17:12:56.107953
denver@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,135,2025-04-23T17:12:56.108770
fortcollins@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,135,2025-04-23T17:12:56.109509
fortmyers@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,135,2025-04-23T17:12:56.110147
marin@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,135,2025-04-23T17:12:56.110734
milpitas@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,135,2025-04-23T17:12:56.111324
sandiego@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,135,2025-04-23T17:12:56.111940
wheatridge@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,135,2025-04-23T17:12:56.112601
ashland@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,136,2025-04-23T17:12:56.213070
frankfort@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,136,2025-04-23T17:12:56.214376
grandrapids@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,136,2025-04-23T17:12:56.215197
indianapolis@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,136,2025-04-23T17:12:56.215959
johnscreek@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,136,2025-04-23T17:12:56.216630
louisville@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,136,2025-04-23T17:12:56.217240
riverview@thedogwizard.com,/Users/miller/projects/File_Util_App/processed_fdds/23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,23589f63-c659-4e98-b802-b8f60e5daddf_origin.pdf,136,2025-04-23T17:12:56.217829
