email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
franchise@dogtrainingelite.com,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,1,2025-04-23T17:15:54.845231
franchise@dogtrainingelite.com,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,57,2025-04-23T17:15:55.655941
cthompson@fblglaw.com,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,111,2025-04-23T17:15:56.503529
franchise@dogtrainingelite.com,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,111,2025-04-23T17:15:56.504941
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,176,2025-04-23T17:15:57.347878
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,178,2025-04-23T17:15:57.433665
design@dogtrainingelite.com,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,182,2025-04-23T17:15:57.530722
operations@dogtrainingelite.com,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,182,2025-04-23T17:15:57.532032
reports@dogtrainingelite.com,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,182,2025-04-23T17:15:57.532774
retail@dogtrainingelite.com,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,182,2025-04-23T17:15:57.533425
training@dogtrainingelite.com,/Users/miller/projects/File_Util_App/processed_fdds/42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,42fbd889-2610-47d4-998b-8ee104527a6c_origin.pdf,182,2025-04-23T17:15:57.534053
