email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
info@flowerama.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,1,2025-04-23T20:35:23.210066
w@hoganhansen.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,164,2025-04-23T20:35:26.873742
taxxe@s...............ccccecceccseesceeeeeesseveusuuaeessseesers,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,167,2025-04-23T20:35:32.032148
tax@s..............cccccccccseseececceeetsseeesneeseeenscenes,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,168,2025-04-23T20:35:33.557382
w@hoganhansen.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,177,2025-04-23T20:35:47.969992
floristrelations@1800flowers.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,235,2025-04-23T20:35:48.470418
mmanley@1800flowers.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,235,2025-04-23T20:35:48.471891
fruitbouquets@1800flowers.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,247,2025-04-23T20:35:48.674536
mmanley@1800flowers.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,247,2025-04-23T20:35:48.675967
customerservice@bloomnet.net,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,258,2025-04-23T20:35:48.820734
customerservice@bloomnet.net,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,271,2025-04-23T20:36:00.999049
customerservice@bloomnet.net,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,276,2025-04-23T20:36:14.016218
info@flowerama.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,297,2025-04-23T20:36:18.716140
info@flowerama.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,299,2025-04-23T20:36:18.808142
nschiau@1800flowers.com,/Users/miller/projects/File_Util_App/processed_fdds/4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,4c9f4bc8-94dc-4760-a240-2642f3109cf2_origin.pdf,300,2025-04-23T20:36:18.821310
