email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
franchise@booxkeeping.com,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,1,2025-04-23T18:41:46.603583
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,65,2025-04-23T18:41:48.245994
bob@legalmattersllp.com,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,136,2025-04-23T18:41:50.115203
max@booxkeeping.com,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,136,2025-04-23T18:41:50.116497
cristina@booxkeeping.net,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,157,2025-04-23T18:41:50.392311
miami@booxkeeping.net,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,157,2025-04-23T18:41:50.393511
orlando@booxkeeping.net,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,157,2025-04-23T18:41:50.394213
polkcounty@booxkeeping.net,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,157,2025-04-23T18:41:50.394870
sofia.bongard@booxkeeping.net,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,157,2025-04-23T18:41:50.395539
todd@fdncpa.com,/Users/miller/projects/File_Util_App/processed_fdds/594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,594e90fe-fc20-43a8-9b00-b77a7affb62d_origin.pdf,157,2025-04-23T18:41:50.396173
