email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
pflick@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,1,2025-04-23T16:53:15.969855
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,53,2025-04-23T16:53:16.573949
ftlauderdale@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,177,2025-04-23T16:53:17.555487
jacksonville@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,177,2025-04-23T16:53:17.557102
joejenkins@windowgang.co,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,177,2025-04-23T16:53:17.558255
miami@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,177,2025-04-23T16:53:17.559065
orlando@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,177,2025-04-23T16:53:17.559919
westpalm@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,177,2025-04-23T16:53:17.560689
atlanta@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,178,2025-04-23T16:53:17.610868
batonrouge@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,178,2025-04-23T16:53:17.612199
burlington@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,178,2025-04-23T16:53:17.613039
concord@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,178,2025-04-23T16:53:17.613700
lasvegas@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,178,2025-04-23T16:53:17.614319
louisville@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,178,2025-04-23T16:53:17.614926
michigan@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,178,2025-04-23T16:53:17.615480
savannah@windowgang.com,/Users/miller/projects/File_Util_App/processed_fdds/9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,9550bf47-cc20-4f6d-b9a3-71f1821df010_origin.pdf,178,2025-04-23T16:53:17.616219
