email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
nate@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,2,2025-04-23T21:04:04.189685
legal@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,46,2025-04-23T21:04:05.086512
edmond@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,172,2025-04-23T21:04:25.484933
gilbert@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,172,2025-04-23T21:04:25.486420
helena@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,172,2025-04-23T21:04:25.487307
martincity@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,172,2025-04-23T21:04:25.488057
nicholasville@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,172,2025-04-23T21:04:25.488894
twinfalls@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,172,2025-04-23T21:04:25.489556
bountiful.@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,173,2025-04-23T21:04:25.553668
halls@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,173,2025-04-23T21:04:25.554987
tooele@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,173,2025-04-23T21:04:25.555744
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,178,2025-04-23T21:04:25.632696
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,180,2025-04-23T21:04:25.715645
nate@realdeals.net,/Users/miller/projects/File_Util_App/processed_fdds/bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,bc34d9d1-b136-4aaa-a5a2-f2d0631bee76_origin.pdf,193,2025-04-23T21:04:25.929405
