email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
franchise@successonthespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,1,2025-04-23T21:30:21.137719
bloominton@successonthespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.333766
castlerock@successonthespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.335593
englewood@successonthespetrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.336443
leesummit@successonthespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.337122
matawan@successonethespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.337795
memorialhouston@successonethespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.338722
mesa@successonthespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.339497
missouricity@successonthespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.340308
northlake@successonthespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.341009
parkplace@successonthespectrum.com,/Users/miller/projects/File_Util_App/processed_fdds/cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,cb434500-93f3-4579-9a01-8cf7563c912a_origin.pdf,220,2025-04-23T21:30:38.341596
