email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
franchise@teamupathletics.com,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,1,2025-04-23T19:48:03.904816
franchise@teamupathletics.com,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,51,2025-04-23T19:48:04.578972
franchise@teamupathletics.com,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,54,2025-04-23T19:48:04.686440
cthompson@fblglaw.com,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,103,2025-04-23T19:48:05.490930
frachise@teamupathletics.com,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,103,2025-04-23T19:48:05.492324
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,155,2025-04-23T19:48:06.051347
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,157,2025-04-23T19:48:06.114632
cthompson@fblglaw.com,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,171,2025-04-23T19:48:06.258472
franchise@teamupathletics.com,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,171,2025-04-23T19:48:06.259191
franchise@teamupathletics.com,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,178,2025-04-23T19:48:06.459147
franchise@teamupathletics.com,/Users/miller/projects/File_Util_App/processed_fdds/ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,ce2881f7-26cc-4dd4-aaf0-ada29abcb159_origin.pdf,193,2025-04-23T19:48:06.676386
