email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
franchise@shoot360.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,1,2025-04-22T17:45:31.373327
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,68,2025-04-22T17:45:32.143076
franchise@shoot360.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,138,2025-04-22T17:45:32.922337
jfittante@larkinhoffman.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,138,2025-04-22T17:45:32.922704
franchise@shoot360.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,154,2025-04-22T17:45:33.033845
franchise@shoot360.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,253,2025-04-22T17:45:33.773017
franchise@shoot360.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,1,2025-04-23T16:46:19.249066
ask.dfpi@dfpi.ca.gov,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,68,2025-04-23T16:46:20.072957
franchise@shoot360.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,138,2025-04-23T16:46:20.875467
jfittante@larkinhoffman.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,138,2025-04-23T16:46:20.876183
franchise@shoot360.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,154,2025-04-23T16:46:20.986260
franchise@shoot360.com,/Users/miller/projects/File_Util_App/processed_fdds/cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,cf7e6bb2-2fee-4947-b200-6034485f7582_origin.pdf,253,2025-04-23T16:46:21.754311
