email_address,source_document_path,source_document_filename,page_number,extraction_timestamp
info@annexbrands.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,1,2025-04-23T19:24:58.932918
mcanup@annexbrands.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,2,2025-04-23T19:24:58.985901
aim19@aimmailcenters.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,270,2025-04-23T19:25:03.181099
pa14024@postalannex.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,270,2025-04-23T19:25:03.182475
pa16@postalannex.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,270,2025-04-23T19:25:03.183292
pa16@postalannex.comwww.postalannex.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,270,2025-04-23T19:25:03.184055
pa170@postalannex.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,270,2025-04-23T19:25:03.184777
pa2030@postalannex.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,270,2025-04-23T19:25:03.185478
pa226@postalannex.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,270,2025-04-23T19:25:03.186510
pa258@postalannex.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,270,2025-04-23T19:25:03.187369
pa4019@postalannex.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,270,2025-04-23T19:25:03.188098
mcanup@annexbrands.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,298,2025-04-23T19:25:03.343943
mcanup@annexbrands.com,/Users/miller/projects/File_Util_App/processed_fdds/d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,d696c452-686a-4e1c-b887-0fa846b07f06_origin.pdf,299,2025-04-23T19:25:03.420162
